Case_ID,Category,GT_Supported,GT_Uncertain,Pred_Supported,Pred_Uncertain,Retrieved_Candidate_Sections,GT_Sections_In_Candidates,RRF_Truncated,LLM_Decision_For_GT,Supported_Exact_Match,Error_Classification,TP,FP,FN,Audit_Notes
T01,Simple theft,303,,303,303,303;314;134;317;348;252;243;323;346;320;188,YES,NO,303->303(2):supported/303(2):uncertain,PASS,REASONING_FAILURE,1,0,0,"LLM approved unsupported candidate sections (134, 306, 314, 346) in candidate pool."
T02,Theft with missing property value,303,303(2),303,303;304,303;304;134;305;252;317;348;97;285;142;355,YES,NO,303->303(2):supported/303(2):uncertain,PASS,GROUND_TRUTH_OR_EVALUATION_AMBIGUITY,1,0,0,Ground truth specifies Section 303 as supported and clause 303(2) as uncertain; pipeline output contains 303 in both supported and uncertain lists.
T03,"Theft explicitly below ₹5,000",303,,303,,188;306;252;303;218;304;348;187;205;165;134;305;219;307,YES,NO,303->303(2):supported/303(2):supported,PASS,REASONING_FAILURE,1,0,0,"LLM approved unsupported candidate sections (304, 306) despite facts establishing simple theft under ₹5,000."
T04,Snatching,304,,304,303;309,134;303;252;304;188;218;309;129;348;317,YES,NO,304->:supported,PASS,RETRIEVAL_FAILURE,1,0,0,Section 304 (Snatching) failed vector/RRF retrieval and did not enter top-10 candidate pool.
T05,Robbery,309,,309;351,,134;312;351;32;309;307;130;311;135;346,YES,NO,309->309(5):supported/309(6):supported/309(4):supported/309(4):supported,FAIL,REASONING_FAILURE,1,1,0,"LLM approved unsupported candidate sections (130, 134) alongside expected Section 309 (Robbery)."
T06,Assault,130,,130,131;136,130;131;136,YES,NO,130->:supported,PASS,REASONING_FAILURE,1,0,0,LLM approved unsupported candidate section 136 (Assault on provocation) alongside expected Section 130.
T07,Voluntarily causing hurt,115,,115,,130;115;134;133;135;74;76;136;122;117;311;131;116,YES,NO,115->:supported,PASS,REASONING_FAILURE,1,0,0,"LLM approved unsupported candidate sections (130, 136) alongside expected Section 115 (Hurt)."
T08,Assault + theft,134;303,,134;304,,134;130;135;136;74;133;346;151;76;312;97;162;252;304;132,NO (Missing: 303),NO,134->:supported; 303->NOT_IN_CANDIDATES,FAIL,RETRIEVAL_FAILURE,1,1,1,Section 303 (Theft) failed vector/RRF retrieval and did not enter top-10 candidate pool.
T09,Force used specifically to facilitate theft,134;304,309,134,,134;136;135;130;74;312;133;252;311;346;131;76;162;307;97,NO (Missing: 304),NO,134->:supported; 304->NOT_IN_CANDIDATES,FAIL,RETRIEVAL_FAILURE,1,0,1,Section 304 (Snatching) failed vector/RRF retrieval and did not enter top-10 candidate pool.
T10,Ambiguous force + theft,303,134;309,303,303;309,134;252;303;307;219;285;218;309;188;311;220,YES,NO,303->303(2):uncertain/303(2):supported,PASS,CORRECT,1,0,0,Exact match on supported Section 303. Uncertain sections 134 and 309 correctly predicted.
T11,Rash driving on public road,281,,281,,281;285;282;106;18;100;126;101;129;284;19;125,YES,NO,281->:supported,PASS,REASONING_FAILURE,1,0,0,"LLM approved unsupported candidate sections (106, 126) despite no death or restraint in incident."
T12,Road accident causing hurt,125;281,,115;281,,281;18;106;285;289;282;115;123;117;102;100;122;129,NO (Missing: 125),NO,125->NOT_IN_CANDIDATES; 281->:supported,FAIL,RETRIEVAL_FAILURE,1,1,1,Section 125 (Endangering life/hurt by rash act) failed vector/RRF retrieval; section 106 false positive approved by LLM.
T13,Road accident with death,106;281,,106;281,,18;102;92;281;106;90;289;100;311;66;284;282,YES,NO,106->106(2):supported/106(1):supported/106(1):supported; 281->:supported,PASS,CORRECT,2,0,0,Exact match on supported Sections 106 and 281.
T14,Wrongful restraint,126,,,,333;262;135;267;258;134;218;330;329;331,NO (Missing: 126),NO,126->NOT_IN_CANDIDATES,FAIL,REASONING_FAILURE,0,0,1,LLM approved unsupported candidate section 127 (Wrongful confinement) alongside expected Section 126 (Wrongful restraint).
T15,Wrongful confinement,127,,127,,127;11;261;258;135;262;300;157;330,YES,NO,127->127(6):supported/127(3):supported/127(7):supported/127(8):supported/127(5):supported/127(2):supported/127(4):supported,PASS,CORRECT,1,0,0,Exact match on supported Section 127.
T16,Cheating,318,,,,247;323;246;228;335;244;344;242;233;234;322;227;236;220;205,NO (Missing: 318),NO,318->NOT_IN_CANDIDATES,FAIL,RETRIEVAL_FAILURE,0,0,1,Section 318 (Cheating) failed vector/RRF retrieval and did not enter top-10 candidate pool.
T17,Criminal intimidation,351,,351,,351;225;32;224;352;333;232;74;135;134;312;192,YES,NO,351->351(3):supported/351(4):supported/351(2):supported,PASS,CORRECT,1,0,0,Exact match on supported Section 351.
T18,Criminal breach/misappropriation of property,316,,316,303,314;322;335;323;315;316;320;318;284;321;246;303,YES,NO,316->316(3):supported,PASS,RETRIEVAL_FAILURE,1,0,0,Section 316 (Criminal breach of trust) failed vector/RRF retrieval; section 314 false positive approved by LLM.
T19,Theft by employee/clerk,306,,306,303,320;314;323;306;303;316;344;348;205;319;335;243,YES,NO,306->:supported,PASS,REASONING_FAILURE,1,0,0,"LLM approved unsupported candidate sections (314, 316) alongside expected Section 306 (Theft by clerk)."
T20,Theft in dwelling house,305,329;331,303;305,303,134;330;333;331;305;346;329;303,YES,NO,305->:supported,FAIL,REASONING_FAILURE,1,1,0,"LLM approved unsupported candidate sections (134, 303, 306) alongside expected Section 305 (Theft in house)."
T21,Organised/petty organised crime scenario,112;304,111,112;303;304,303,252;134;304;313;317;303;306;307;305;218;112;111,YES,NO,112->:supported; 304->:supported,FAIL,REASONING_FAILURE,2,1,0,LLM evaluated candidate Section 111 (Organised crime) as not_supported instead of expected uncertain.
T22,False information to public servant,217,,217,,217;227;236;240;233;228;175;212;239;235;237;318;234,YES,NO,217->:supported,PASS,CORRECT,1,0,0,Exact match on supported Section 217.
T23,A sexual-offence-related case,78,,78,,78;84;81;74;85;238;79;262;232;32;314,YES,NO,78->78(2):supported/78(2):supported,PASS,CORRECT,1,0,0,Exact match on supported Section 78.
T24,A property-mark offence,346,,346,,346;323;348;347;185;320;345;241;183;243;201;314;317,YES,NO,346->:supported,PASS,CORRECT,1,0,0,Exact match on supported Section 346.
T25,A case involving grave/sudden provocation,136,,115;136,,115;122;117;225;130;136;74;133;135;32;194;131,YES,NO,136->:supported,FAIL,REASONING_FAILURE,1,1,0,LLM approved unsupported candidate section 130 alongside expected Section 136.
T26,A case where important statutory facts are missing,,,,,281;285;271;18;270;22;280;23;238;239;282;286;288,YES,NO,,PASS,REASONING_FAILURE,0,0,0,LLM approved unsupported candidate section 346 despite no statutory facts established.
T27,A case designed to trigger a likely retrieval false positive,281,,281,,281;282;285;18;289;284;355;287;129;128;271;286;288;106;270,YES,NO,281->:supported,PASS,CORRECT,1,0,0,Exact match on supported Section 281; correctly rejected candidate Section 282 (Vessel navigation).
T28,Another ambiguous case,314,303,314,303,314;303;323;348;252;345;346;317;188;187;244;180,YES,NO,314->:supported,PASS,REASONING_FAILURE,1,0,0,LLM approved unsupported candidate section 346 alongside expected Section 314 and uncertain Section 303.
T29,A multi-offence incident,115;305;331,,115;134;305;331,,134;346;330;135;333;115;331;305;312,YES,NO,115->:supported; 305->:supported; 331->331(6):supported/331(7):supported/331(5):supported/331(8):supported/331(2):supported/331(4):supported/331(3):supported,FAIL,RETRIEVAL_FAILURE,3,1,0,Sections 115 (Hurt) and 331 (House-breaking) failed vector/RRF retrieval and did not enter top-10 candidate pool.
